id,label_str,pred_str,p_A,label_num
0,A,B,0.34864515,1
1,B,A,0.54673815,0
2,A,A,0.65135491,1
3,B,B,0.48438010,0
4,A,B,0.22270015,1
5,A,A,0.81757444,1
6,B,A,0.74316794,0
7,B,A,0.59266663,0
8,B,B,0.33458945,0
9,A,B,0.45326188,1
10,A,A,0.65135491,1
11,B,B,0.39233685,0
12,B,B,0.45326188,0
13,B,B,0.37754068,0
14,A,A,0.62245935,1
15,A,A,0.71859437,1
16,A,A,0.75491500,1
17,A,B,0.48438010,1
18,B,A,0.54673815,0
19,A,B,0.36296922,1
20,B,B,0.19193280,0
21,B,A,0.57749540,0
22,B,B,0.46879065,0
23,A,A,0.54673815,1
24,B,B,0.29421496,0
25,A,A,0.53120941,1
26,A,B,0.40733343,1
27,B,B,0.14033625,0
28,B,B,0.29421496,0
29,B,B,0.28140560,0
30,A,A,0.67917871,1
31,B,B,0.32082132,0
32,B,B,0.46879065,0
33,A,B,0.30735803,1
34,A,B,0.34864515,1
35,A,B,0.34864515,1
36,B,B,0.48438010,0
37,A,B,0.48438010,1
38,A,B,0.46879065,1
39,B,B,0.26894143,0
40,B,A,0.74316794,0
41,A,A,0.62245935,1
42,A,A,0.50000000,1
43,A,B,0.36296922,1
44,A,B,0.48438010,1
45,B,A,0.50000000,0
46,A,A,0.59266663,1
47,A,B,0.48438010,1
48,B,B,0.39233685,0
49,A,A,0.63703084,1
