id,label_str,pred_str,p_A,label_num
0,A,B,0.48438010,1
1,B,A,0.54673815,0
2,A,A,0.53120941,1
3,A,A,0.57749540,1
4,A,A,0.60766321,1
5,B,B,0.34864515,0
6,A,A,0.56217653,1
7,A,A,0.56217653,1
8,B,A,0.54673815,0
9,B,B,0.39233685,0
10,A,B,0.46879065,1
11,A,A,0.59266663,1
12,A,B,0.46879065,1
13,A,A,0.63703084,1
14,B,A,0.56217653,0
15,A,B,0.46879065,1
16,A,A,0.51561993,1
17,A,B,0.45326188,1
18,B,A,0.53120941,0
19,A,A,0.56217653,1
20,B,A,0.51561993,0
21,A,B,0.48438010,1
22,B,A,0.50000000,0
23,A,B,0.42250463,1
24,B,B,0.46879065,0
25,A,A,0.56217653,1
26,B,A,0.50000000,0
27,B,B,0.36296922,0
28,B,A,0.53120941,0
29,A,A,0.57749540,1
30,B,B,0.32082132,0
31,A,A,0.51561993,1
32,A,B,0.46879065,1
33,A,B,0.45326188,1
34,B,B,0.45326188,0
35,A,B,0.46879065,1
36,B,B,0.43782350,0
37,B,A,0.53120941,0
38,B,B,0.40733343,0
39,A,B,0.48438010,1
40,A,B,0.45326188,1
41,B,A,0.50000000,0
42,B,A,0.63703084,0
43,B,B,0.39233685,0
44,A,A,0.53120941,1
45,B,B,0.40733343,0
46,A,B,0.48438010,1
47,A,A,0.50000000,1
48,B,A,0.50000000,0
49,A,B,0.46879065,1
