id,label_str,pred_str,p_A,label_num
0,A,A,0.51561993,1
1,B,A,0.51561993,0
2,A,A,0.53120941,1
3,A,A,0.62245935,1
4,A,B,0.48438010,1
5,B,B,0.48438010,0
6,B,B,0.42250463,0
7,B,A,0.57749540,0
8,A,A,0.59266663,1
9,B,B,0.48438010,0
10,A,A,0.50000000,1
11,B,A,0.50000000,0
12,A,A,0.62245935,1
13,B,A,0.59266663,0
14,B,B,0.43782350,0
15,A,A,0.59266663,1
16,A,A,0.59266663,1
17,B,A,0.51561993,0
18,B,A,0.50000000,0
19,A,B,0.45326188,1
20,B,A,0.66541058,0
21,B,B,0.48438010,0
22,B,A,0.53120941,0
23,A,A,0.53120941,1
24,B,B,0.34864515,0
25,A,A,0.50000000,1
26,A,A,0.50000000,1
27,A,A,0.63703084,1
28,B,B,0.45326188,0
29,B,A,0.50000000,0
30,A,A,0.50000000,1
31,B,B,0.40733343,0
32,A,B,0.42250463,1
33,A,A,0.53120941,1
34,A,B,0.42250463,1
35,A,B,0.40733343,1
36,B,A,0.50000000,0
37,A,A,0.57749540,1
38,A,A,0.59266663,1
39,B,B,0.48438010,0
40,A,B,0.46879065,1
41,B,A,0.53120941,0
42,A,B,0.43782350,1
43,B,B,0.36296922,0
44,B,B,0.48438010,0
45,B,B,0.45326188,0
46,B,A,0.51561993,0
47,A,B,0.48438010,1
48,A,A,0.51561993,1
49,A,A,0.57749540,1
